"Zone ID";Zone;Impressions;Profit;CPM
10187995;Popptunder;3297;2.42;0.7339
10188032;"Crazy tag";1886;0.086;0.0456
10188092;"Loud tag";1531;0.201;0.131
10188024;"Wise tag";43;0.04;0.9201
10187966;"Cheerful tag";3;0;0
10187967;"Cheerful tag";1;0;0
10187968;"Cheerful tag";1;0;0
10187965;"Cheerful tag";0;0;0
;;6762;2.747;0.4062
